API,GDP at purchasing power parities (Billion 2015$ PPP),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
INTL.4701-34-WORL-BDOLPPP.A,    World,27852.33249,28742.78213,28878.1409,29692.84955,31167.15521,32357.25404,33488.14806,34855.74247,42350.09672,44333.38122,49531.20948,50488.8112,51352.35038,52431.4634,53979.17468,55712.8631,57856.7802,60177.86556,61605.4187,63707.6435,66770.29558,68314.31644,70192.27066,72791.97659,76497.68807,80076.84208,84225.04012,88619.52963,91146.05527,90470.52915,95118.72027,98762.81091,102064.5683,105245.7265,108678.8842,112191.0612,115775.0264,120087.08,124469.5836,128020.7772,123951.6424,131630.3687,135981.5716
INTL.4701-34-AFG-BDOLPPP.A,        Afghanistan,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,37.70134,34.93132,33.51732,30.44972,30.01358,24.27148,18.68738,24.39298,25.26274,23.95642,22.83571,21.74396,20.57994,19.42012,28.85191,33.41251,34.36823,36.94874,40.11277,49.19546,48.65184,53.93951,56.77119,60.61034,66.49145,70.91362,73.0931,72.05595,73.17189,75.10878,76.00197,78.97488,77.44689,67.10945,51.04502
INTL.4701-34-ALB-BDOLPPP.A,        Albania,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,15.68773,17.23087,15.5809,11.21792,10.41029,11.40969,12.35672,14.00015,15.2744,13.61899,14.84589,16.85026,17.96654,19.39311,20.2137,21.37394,22.58653,23.88739,25.18473,26.67195,28.68202,29.6441,30.74298,31.52547,31.97236,32.29272,32.86575,33.59499,34.70867,36.02837,37.47645,38.25886,36.92684,40.07133,41.08943
INTL.4701-34-DZA-BDOLPPP.A,        Algeria,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,219.9211,229.5976,231.4344,228.6572,232.773,227.8848,225.8338,234.4155,244.0265,246.7108,259.2931,267.5905,277.7589,286.0917,302.1128,323.8649,337.7911,357.7208,363.802,376.1713,385.1994,391.3626,405.4517,417.2098,431.3949,443.4739,460.3259,477.358,492.6334,499.0377,505.0261,510.0764,484.0625,501.0047,516.6248
INTL.4701-34-ASM-BDOLPPP.A,        American Samoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.514,0.527,0.512,0.503,0.496,0.52,0.563,0.678,0.576,0.574,0.644,0.641,0.642,0.661,0.652,0.602,0.636,NA,NA,NA,NA
INTL.4701-34-AGO-BDOLPPP.A,        Angola,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,64.49842,64.52527,62.29909,62.9167,59.24345,45.03484,45.63802,52.48373,59.59232,63.92722,66.92613,68.38613,70.47507,73.43926,83.47523,85.97113,95.38498,109.7213,122.3942,139.5415,155.1284,156.4625,164.0665,169.7596,184.2571,193.3778,202.6987,204.604,199.3252,199.0262,196.4065,195.0316,184.3049,185.595,190.0024
INTL.4701-34-ATA-BDOLPPP.A,        Antarctica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INTL.4701-34-ATG-BDOLPPP.A,        Antigua and Barbuda,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.9070073,0.9546448,0.983396,1.0048,1.01644,1.070108,1.141556,1.091788,1.163895,1.227579,1.285657,1.333324,1.349035,1.305944,1.344129,1.423618,1.498878,1.617657,1.824796,1.994314,2.009489,1.769099,1.630392,1.598459,1.652372,1.642443,1.704786,1.77,1.867287,1.926001,2.05858,2.158673,1.722873,1.813694,1.91781
INTL.4701-34-ARG-BDOLPPP.A,        Argentina,453.8185,430.0902,416.5064,433.6327,442.3014,411.5604,440.9365,452.3612,443.7921,413.0081,405.4491,448.3387,491.408,514.8649,544.9136,529.4096,558.6681,603.9818,627.2362,606.0016,601.2202,574.7142,512.1012,557.3561,583.4301,635.0734,686.1787,747.9871,778.3349,732.269,806.414,854.8308,846.0566,866.407,844.6376,867.706,849.6548,873.6024,850.7368,833.7147,750.8164,828.8882,874.3154
INTL.4701-34-ARM-BDOLPPP.A,        Armenia,--,--,--,--,--,--,--,--,--,--,--,--,8.17452,7.454276,7.851379,8.392436,8.887594,9.182748,9.856783,10.17765,10.77768,11.80767,13.58477,15.49218,17.11388,19.48685,22.05872,25.09162,26.8349,23.03777,23.54808,24.64324,26.409,27.28049,28.26259,29.16699,29.22533,31.41722,33.05092,35.56279,33.00227,34.8834,36.93677
INTL.4701-34-ABW-BDOLPPP.A,        Aruba,--,--,--,--,--,--,0.000001,0.000001,1.449501,1.625323,1.689708,1.824257,1.931566,2.072719,2.242763,2.298984,2.327608,2.509497,2.676796,2.707699,2.829926,2.784646,2.788063,2.802681,3.015322,3.052393,3.082951,3.185992,3.14711,2.840375,2.759671,2.791152,2.745516,2.929757,2.936567,3.121884,3.158344,3.239326,3.229515,3.206908,2.491113,2.846129,2.984005
INTL.4701-34-AUS-BDOLPPP.A,        Australia,373.1915,388.6075,389.3477,386.8433,412.8022,433.4605,442.469,464.6791,483.9059,506.3738,514.0086,508.8741,522.0668,542.5893,568.9002,585.7197,609.2844,637.4584,667.0984,696.1544,717.6808,736.7368,767.417,790.5864,823.0934,847.7721,869.9536,908.0145,931.0962,949.2454,972.1682,999.0316,1036.675,1059.516,1086.639,1111.445,1141.365,1168.583,1201.46,1224.822,1202.535,1265.23,1310.553
INTL.4701-34-AUT-BDOLPPP.A,        Austria,212.6687,212.3836,216.4419,222.378,223.2191,228.2421,233.6482,237.4715,248.0478,258.3304,269.1724,278.1099,283.5478,285.8387,292.8167,302.1609,309.03,315.8243,326.9348,338.2773,350.2179,354.6424,360.7046,364.197,373.4352,382.2965,395.8239,410.3716,416.8324,400.9696,408.1216,420.5186,423.5815,423.5195,426.934,431.0821,439.6518,449.8876,460.7572,467.5802,436.8796,457.5096,479.2738
INTL.4701-34-AZE-BDOLPPP.A,        Azerbaijan,--,--,--,--,--,--,--,--,--,--,--,--,42.90093,32.99066,26.50638,23.37863,23.68255,25.05613,27.56175,29.60132,32.88707,36.14289,39.51784,43.52988,47.53752,60.59282,81.51037,102.2734,113.0519,123.4629,129.6728,127.9882,130.7856,138.3407,142.2519,144.146,139.7782,140.0229,142.0891,145.7014,140.3407,147.0813,154.1697
INTL.4701-34-BHR-BDOLPPP.A,        Bahrain,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,17.31205,17.34941,18.14101,20.15219,21.52318,24.31721,24.2533,25.15883,26.18914,27.02316,28.32998,29.53422,31.10566,31.88049,32.94802,35.02257,37.46748,40.00366,42.5907,46.12315,49.00209,50.24699,52.42609,53.46597,55.45929,58.46343,61.00676,62.52301,64.74766,67.52638,68.95153,70.44566,66.96856,68.45917,72.46605
INTL.4701-34-BGD-BDOLPPP.A,        Bangladesh,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,148.2319,152.0348,162.1474,167.5591,176.0053,184.0469,191.5752,201.0063,210.301,219.7433,231.1194,241.9132,254.7184,267.651,277.9105,291.0823,306.3336,326.3554,348.1296,372.7025,395.1159,415.0501,438.1758,466.5012,496.9239,526.8068,558.7372,595.349,637.6995,679.7254,729.4774,786.9741,814.1091,870.5976,933.6752
INTL.4701-34-BRB-BDOLPPP.A,        Barbados,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,3.652644,3.78418,3.659304,3.516112,3.270521,3.310481,3.435774,3.505289,3.644318,3.817064,3.95984,3.972744,4.149653,4.051417,4.083468,4.17213,4.230822,4.398573,4.647907,4.750256,4.78341,4.54061,4.436743,4.406207,4.387142,4.323642,4.320017,4.426,4.537663,4.557536,4.530599,4.472104,3.685014,3.739227,4.131022
INTL.4701-34-BLR-BDOLPPP.A,        Belarus,--,--,--,--,--,--,--,--,--,--,--,--,8.998028,8.347343,64.91012,58.15159,59.7806,66.59522,72.1899,74.64471,78.97416,82.70582,86.87854,92.99757,103.6455,113.4305,124.7714,135.5607,149.4534,149.6975,161.3268,170.6168,173.5631,175.2364,178.0072,171.204,166.8678,170.9577,176.4271,178.9363,177.2342,181.8783,173.3607
INTL.4701-34-BEL-BDOLPPP.A,        Belgium,267.9961,268.3881,269.9461,271.0186,276.7159,281.8278,287.0511,293.8636,307.2803,318.3978,328.236,334.1465,338.5958,336.2506,347.3188,357.8923,362.6059,376.363,383.7498,397.3443,412.1416,416.6452,423.7543,428.1529,443.4391,453.7566,465.3418,482.431,484.5778,474.7991,488.3986,496.6756,500.3465,502.6446,510.5802,521.0027,527.6019,536.1464,545.7599,557.9879,528.0719,560.4647,578.0524
INTL.4701-34-BLZ-BDOLPPP.A,        Belize,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,7.55E-07,7.55E-07,1.152511,1.284625,1.439149,1.529463,1.531878,1.541762,1.558059,1.613968,1.676743,1.827343,2.065164,2.168758,2.279746,2.492441,2.608259,2.669902,2.787605,2.879504,2.835516,2.822991,2.858378,2.855058,2.965141,3.099519,3.226125,3.335001,3.338924,3.281732,3.318552,3.467643,3.003243,3.459947,3.698093
INTL.4701-34-BEN-BDOLPPP.A,        Benin,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,10.02388,9.737775,10.61185,11.06029,11.38742,12.05201,12.29551,13.0388,13.60263,14.3827,14.9524,15.75107,16.67373,17.56296,18.37841,19.01129,19.85343,20.19355,20.98993,22.24646,23.33578,23.877,24.38178,25.10439,26.31222,28.20445,29.99759,30.531,31.55063,33.34004,35.57291,38.01523,39.47836,42.08394,44.36067
INTL.4701-34-BMU-BDOLPPP.A,        Bermuda,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,4.411799,4.417313,4.300426,4.311669,4.194146,4.295759,4.363644,4.599115,4.777309,4.99734,5.192727,5.368751,5.528934,5.928193,5.840586,6.039791,6.1822,6.285714,6.575246,7.009783,7.315299,7.099293,7.140661,6.873406,6.50875,6.490544,6.250325,6.298799,6.257402,6.483385,6.455325,6.485009,6.532992,6.542134,6.589741
INTL.4701-34-BTN-BDOLPPP.A,        Bhutan,0.5377173,0.6190322,0.6403254,0.7071177,0.7393389,0.7691231,0.8567441,1.105664,1.158375,1.243581,1.372704,1.367105,1.430004,1.458409,1.530621,1.6389,1.730108,1.82308,1.930898,2.08506,2.155016,2.334938,2.5916,2.794348,2.962254,3.178121,3.400581,4.024956,4.218133,4.502786,5.040685,5.443063,5.72166,5.842958,6.180477,6.590998,7.126651,7.458171,7.686027,8.128372,7.309329,7.608639,7.977818
INTL.4701-34-BOL-BDOLPPP.A,        Bolivia,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,6.16E-07,6.16E-07,28.16197,29.63796,30.14873,31.43353,32.90595,34.43316,35.92347,37.69129,39.58254,39.73899,40.73034,41.43154,42.48074,43.63153,45.45039,47.43288,49.69368,51.93987,55.14487,57.0007,59.34156,62.4528,65.6518,70.1234,73.96021,77.543,80.87176,84.25058,87.84377,89.82499,85.95235,91.08847,93.39648
INTL.4701-34-BIH-BDOLPPP.A,        Bosnia and Herzegovina,--,--,--,--,--,--,--,--,--,--,--,--,7.086323,6.931746,7.703385,9.305689,14.3493,19.60706,22.86504,25.15154,26.53488,27.45397,28.76257,30.09794,31.58592,32.80775,35.46376,37.91555,39.42343,38.07953,37.75639,38.45799,38.44857,39.14286,39.5725,41.195,42.7338,44.36264,45.84728,47.11117,45.62429,49.0855,50.22083
INTL.4701-34-BWA-BDOLPPP.A,        Botswana,4.515199,4.924497,5.523588,6.249758,6.783825,7.267191,7.861133,8.795188,10.50585,11.87785,12.68232,13.62825,14.02579,14.29455,14.55794,15.78665,16.16389,17.32078,17.04403,18.43992,19.17745,19.64462,21.08491,22.22707,22.53321,23.69022,25.1687,26.62238,27.48654,23.59267,25.96768,27.71491,27.663,30.72695,32.4745,30.89893,33.13879,34.51049,35.95983,37.05418,33.84328,37.81977,40.18732
INTL.4701-34-BRA-BDOLPPP.A,        Brazil,1305.04,1247.774,1255.027,1212.31,1277.401,1378.8,1494.732,1544.491,1540.62,1590.437,1532.741,1548.738,1540.138,1615.759,1710.096,1782.464,1816.609,1884.126,1890.761,1899.746,1980.713,2011.114,2071.858,2095.952,2209.664,2289.517,2380.165,2522.091,2642.606,2646.81,2846.833,2963.238,3010.962,3107.761,3124.066,3013.557,2907.924,2955.067,3004.955,3041.514,2932.676,3088.628,3182.208
INTL.4701-34-VGB-BDOLPPP.A,        British Virgin Islands,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.1887113,0.2050117,0.2580612,0.3171505,0.3943945,0.5156485,0.6430554,0.7951331,0.8572216,0.94735,1.04549,1.145632,1.24359,1.300959,1.257382,1.099423,1.140519,1.304015,1.311246,1.322133,1.326478,1.333188,1.355409,1.317027,1.307179,1.352028,1.373989,1.385608,1.477688,1.47196,1.471749,1.496936,1.522816,1.550824,1.575535
INTL.4701-34-BRN-BDOLPPP.A,        Brunei,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,17.66724,18.05722,18.25395,18.8282,19.72416,19.78423,20.40654,21.32048,21.93414,21.61095,21.48986,22.14595,22.77772,23.40297,24.3091,25.01487,25.141,25.23854,26.34835,26.38844,25.87767,25.42062,26.08131,27.0579,27.30498,26.72481,26.05457,25.949,25.30917,25.64548,25.65888,26.65163,26.97217,27.42029,27.90977
INTL.4701-34-BGR-BDOLPPP.A,        Bulgaria,63.71248,66.73766,68.29262,70.6398,73.03362,75.00175,78.17945,82.96302,91.93516,88.78095,80.65697,73.8579,68.5332,67.5694,68.81988,85.49391,91.21766,78.02484,81.47021,74.76134,79.07748,82.16423,86.88655,91.44628,97.49442,104.271,111.305,119.0479,126.2671,121.8601,123.5594,126.4718,127.0963,126.3435,127.7803,132.0383,136.0981,139.8885,143.8882,149.5296,143.53,153.6874,159.2878
INTL.4701-34-BFA-BDOLPPP.A,        Burkina Faso,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,7.943874,8.11503,8.065616,8.797487,8.817536,9.123318,9.242911,9.771407,10.8477,11.53293,12.37573,13.14834,13.39664,14.28262,14.90434,16.06725,16.78681,18.24086,19.3815,20.17834,21.34868,21.98102,23.8376,25.41626,27.05629,28.62355,29.86204,31.033,32.88194,34.92177,37.27244,39.39675,40.1935,42.971,43.41368
INTL.4701-34-MMR-BDOLPPP.A,        Burma,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,26.35468,27.21072,27.4989,28.73314,30.96478,33.06411,35.44588,37.81609,40.09822,42.22062,45.60746,49.45302,55.5942,62.52552,68.73279,77.80279,89.7203,101.8926,115.4513,129.8833,139.7004,145.8268,153.4779,161.8751,172.374,185.9892,201.24,216.278,230.138,243.3711,258.959,276.4398,285.2567,234.198,224.9081
INTL.4701-34-BDI-BDOLPPP.A,        Burundi,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,5.577083,5.652632,5.854809,6.216269,6.305925,5.875988,5.683103,5.225926,4.79776,4.813241,5.049937,5.105642,5.200499,5.275487,5.409506,5.538521,5.743617,5.997092,6.323386,6.544544,6.858508,7.121121,7.485574,7.784872,8.130583,8.534575,8.896026,8.551,8.496759,8.54146,8.67993,8.83681,8.74661,8.965303,9.225616
INTL.4701-34-CPV-BDOLPPP.A,        Cabo Verde,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.8583597,0.9072771,0.91352,0.9263703,0.9545642,1.024377,1.095342,1.177382,1.256229,1.352184,1.465951,1.63984,1.758987,1.866939,1.965561,2.057612,2.145678,2.285595,2.517394,2.73513,2.917032,2.879964,2.922211,3.038186,3.071061,3.095704,3.114629,3.146,3.294036,3.415983,3.570766,3.773148,3.215349,3.440363,3.844127
INTL.4701-34-KHM-BDOLPPP.A,        Cambodia,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,13.90631,13.87033,14.03124,15.09575,16.15697,16.81805,10.96377,12.04975,12.76029,13.27148,13.89274,15.65747,17.33535,18.62557,19.85097,21.53987,23.76686,26.91597,29.81559,32.86075,35.05961,35.08896,37.18144,39.81079,42.70063,45.89498,49.14069,52.59798,56.21793,60.14115,64.63306,69.19223,67.04961,69.09561,72.40991
INTL.4701-34-CMR-BDOLPPP.A,        Cameroon,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,40.91701,40.17268,37.71988,36.28325,35.1585,32.3697,32.97721,33.93159,35.3618,36.96275,38.70945,40.45573,41.89418,43.72328,45.5765,47.65693,50.88893,51.91749,53.71268,56.34601,58.31161,59.59353,61.63269,64.17856,67.09345,70.7202,74.88064,79.11301,82.63024,85.72902,89.15676,92.59921,91.00916,94.77812,98.21855
INTL.4701-34-CAN-BDOLPPP.A,        Canada,693.8844,717.7522,694.8756,712.9516,755.0761,790.8471,807.8105,840.7124,877.7886,898.1269,899.6058,880.8394,888.7691,912.418,953.4263,979.1115,994.9649,1037.55,1077.974,1133.629,1192.324,1213.667,1250.296,1272.82,1312.112,1354.154,1389.827,1418.622,1432.869,1390.944,1433.923,1479.035,1505.08,1540.136,1584.338,1594.782,1610.752,1659.717,1705.808,1738.017,1649.824,1732.51,1791.233
INTL.4701-34-CYM-BDOLPPP.A,        Cayman Islands,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,1.235949,1.345204,1.522744,1.543229,1.590687,1.666824,1.755252,1.839583,1.931426,2.037608,2.654559,2.744415,2.771282,2.786708,2.834785,2.891477,2.917443,3.106926,3.249874,3.276904,3.340672,3.100128,3.015939,3.051198,3.08872,3.128235,3.211275,3.302254,3.409247,3.517799,3.665347,3.805257,3.588369,3.652774,3.755612
INTL.4701-34-CAF-BDOLPPP.A,        Central African Republic,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,3.391928,3.431948,3.386276,3.374479,3.549156,3.732046,3.450345,3.661533,3.828229,4.055554,4.133497,4.159557,4.134185,3.842655,3.949026,4.043082,4.235289,4.406021,4.521149,4.648288,4.863542,5.067549,5.32365,3.386269,3.389014,3.536,3.703971,3.87166,4.018375,4.137731,4.177849,4.215907,4.279735
INTL.4701-34-TCD-BDOLPPP.A,        Chad,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,5.805094,5.918408,6.107916,6.743263,6.904561,6.761362,7.132831,7.077551,7.227244,7.635796,8.16664,8.110861,8.039483,8.976729,9.738942,11.17271,14.92998,16.17081,16.2756,16.80813,17.32297,18.03997,20.49304,20.51763,22.32462,23.60895,25.23632,25.683,24.25554,23.67826,24.23588,25.06451,24.52387,24.24969,24.55426
INTL.4701-34-CHL-BDOLPPP.A,        Chile,80.21397,83.99084,75.29584,72.47548,78.27748,83.84627,88.53681,94.26196,101.1254,112.0639,116.3129,125.4206,140.5253,150.2449,158.7846,175.8257,187.3202,201.4303,209.8528,208.8934,220.0857,227.1328,233.9119,244.646,260.3688,275.9635,293.4797,308.9671,319.4329,316.2146,334.6857,355.1882,378.0301,390.0527,396.8059,405.31,412.0042,418.5155,435.3794,438.4558,411.2175,459.9588,472.9074
INTL.4701-34-CHN-BDOLPPP.A,        China,684.6267,719.5428,784.3016,869.0061,1001.095,1135.242,1236.278,1380.923,1535.586,1600.081,1662.484,1817.095,2076.495,2364.838,2672.996,2966.292,3260.738,3562.318,3842.213,4137.435,4487.901,4861.396,5304.462,5836.354,6426.546,7158.537,8068.208,9217.386,10101.76,11055.16,12228.81,13396.88,14448.46,15571.29,16722.22,17895.86,19121.77,20444.71,21822.1,23128.3,23639.92,25556.57,26317.51
INTL.4701-34-COL-BDOLPPP.A,        Colombia,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,240.2912,249.4578,259.7812,266.8662,278.1065,293.9811,306.7399,322.6978,329.332,340.6291,342.5699,328.1682,338.4936,344.1732,352.7915,366.6147,386.1662,403.3392,430.431,459.4343,474.5188,479.9274,501.4985,536.3421,557.328,585.9404,612.3028,630.4002,643.5599,652.309,669.0363,690.3567,641.6993,710.2137,766.9918
INTL.4701-34-COM-BDOLPPP.A,        Comoros,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,1.134056,1.09799,1.153892,1.091632,1.184759,1.220373,1.155976,1.19771,1.182239,1.229885,1.245659,1.26963,1.407359,1.440191,1.473674,1.504678,1.533563,1.577079,1.618823,1.631775,1.696468,1.751446,1.817612,1.892925,1.9529,2.040122,2.0831,2.107,2.176963,2.26003,2.342351,2.383594,2.376609,2.432407,2.500722
INTL.4701-34-COG-BDOLPPP.A,        Congo-Brazzaville,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,9.898133,10.0728,10.17387,10.41758,10.68968,10.58495,10.00351,10.40218,11.06709,10.79739,11.18592,10.89486,11.71998,12.16647,12.72402,12.82682,13.28478,14.30065,16.16644,15.0972,16.04928,17.91698,19.69637,20.13085,22.1333,21.97562,23.2843,22.531,20.23501,19.2975,18.10028,18.02224,16.54997,16.11972,16.74839
INTL.4701-34-COD-BDOLPPP.A,        Congo-Kinshasa,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,58.03502,57.30027,53.53661,49.02827,43.88029,37.97004,36.4892,36.74463,36.36866,34.32582,33.76832,32.32636,30.09231,29.46032,30.32874,32.02043,34.17808,36.27496,38.20514,40.59658,43.12409,44.3553,47.50807,50.77409,54.3724,58.98425,64.57022,69.03601,70.69246,73.32713,77.59559,80.9978,82.40345,87.1105,92.16291
INTL.4701-34-COK-BDOLPPP.A,        Cook Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INTL.4701-34-CRI-BDOLPPP.A,        Costa Rica,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,25.23808,26.55315,27.47654,28.29132,30.89443,33.08707,34.58228,36.01881,36.50523,38.50432,41.25942,42.99843,44.66192,46.22114,47.80046,49.86409,52.07038,54.14104,58.10779,62.88143,65.86085,65.28559,68.78512,71.81384,75.32022,77.19928,79.93377,82.85301,86.33642,89.92603,92.27841,94.50924,90.47053,97.52296,101.462
INTL.4701-34-HRV-BDOLPPP.A,        Croatia,--,--,--,--,--,--,--,--,--,--,--,--,62.18547,57.21063,60.58606,65.19575,69.15291,73.44028,75.13136,74.51234,76.71127,79.0636,83.62504,88.28832,91.97964,95.89673,100.6088,105.5602,107.6345,99.90285,98.7099,98.66873,96.43816,96.06139,95.64193,97.97822,101.5198,104.9524,107.8789,111.6322,102.4112,115.3803,122.5696
INTL.4701-34-CUB-BDOLPPP.A,        Cuba,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,88.37249,88.9735,86.35005,77.1169,68.18631,58.04143,58.45755,59.89396,64.58891,66.38136,66.48866,70.60482,74.78145,77.16326,78.26322,81.23205,85.9193,95.54209,107.0717,114.8458,119.5754,121.3103,124.21,127.6908,131.5405,135.1547,136.5706,142.6318,143.3646,145.9581,149.2399,148.9939,132.6816,134.4356,138.2469
INTL.4701-34-CYP-BDOLPPP.A,        Cyprus,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,17.15646,17.37069,17.82936,18.91868,19.86443,21.04967,21.88132,22.69598,23.2913,24.46211,25.6493,26.85859,28.22708,29.25702,28.66726,29.32137,29.44359,28.42838,26.55596,26.08422,26.976,28.74949,30.39776,32.11458,33.89033,32.40893,34.56007,36.41114
INTL.4701-34-CZE-BDOLPPP.A,        Czechia,--,--,--,--,--,--,--,--,--,--,--,--,--,203.3762,207.8901,220.3134,229.4762,228.243,227.4477,230.2885,240.1805,247.4627,251.1752,260.1589,272.3396,290.5057,310.6259,327.8904,336.186,320.9647,328.3358,334.1091,331.7139,331.5762,339.072,357.5847,366.3515,385.9304,398.3061,410.1197,387.4889,401.0359,410.9852
INTL.4701-34-CIV-BDOLPPP.A,        Côte d’Ivoire,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,54.77543,56.39021,55.77223,55.79505,55.73841,55.50982,56.67583,60.70172,64.27996,67.95946,71.3076,72.46359,70.96723,71.05445,69.86738,68.91392,69.7591,70.9597,72.03548,73.30677,75.17108,77.61539,79.18143,75.85735,83.52063,91.26362,99.28934,108.069,115.8361,124.3611,132.9302,141.2141,143.9687,154.6502,163.912
