API,GDP at purchasing power parities (Billion 2015$ PPP),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
INTL.4701-34-DNK-BDOLPPP.A,        Denmark,151.3587,150.0079,154.5313,158.4215,165.3784,172.4634,178.7568,179.2739,185.1757,185.4614,186.2302,188.6607,192.3527,192.3735,202.6316,208.7665,214.8209,221.8261,226.7465,233.4309,242.1775,244.1708,245.3096,246.2663,252.8373,258.7452,268.8698,271.3145,269.9255,256.6814,261.4837,264.9793,265.5794,268.0582,272.3992,278.7805,287.8294,295.9512,301.8392,306.3473,300.2369,314.8153,324.4292
INTL.4701-34-DJI-BDOLPPP.A,        Djibouti,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,2.742289,2.620082,2.634805,2.45693,2.423506,2.339149,2.251844,2.224474,2.227005,2.292013,2.308363,2.349755,2.425751,2.503045,2.572595,2.652634,2.780626,2.920109,3.089643,3.139587,3.269794,3.50825,3.678124,3.862062,4.134784,4.445972,4.762678,5.022629,5.26243,5.554238,5.621001,5.863248,6.038007
INTL.4701-34-DMA-BDOLPPP.A,        Dominica,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.4870998,0.4861663,0.5125092,0.5194166,0.5299577,0.5414124,0.5415991,0.5580142,0.575336,0.5879107,0.6100999,0.6122601,0.6265883,0.6261882,0.6084797,0.6471372,0.6668794,0.6712532,0.7025297,0.7471612,0.8003671,0.7910063,0.7963265,0.7945466,0.7861324,0.7782711,0.8128887,0.793,0.8149158,0.7597359,0.7879725,0.8313304,0.6978427,0.6714605,0.7274171
INTL.4701-34-DOM-BDOLPPP.A,        Dominican Republic,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,41.57287,43.4023,41.035,41.42275,45.77759,49.08393,50.21446,52.97306,56.75075,61.29325,65.59027,69.99488,73.95424,75.29223,79.65031,79.44848,80.4908,87.94646,97.33141,105.5799,108.9585,109.9879,119.147,122.895,126.2472,132.3972,141.741,151.56,161.6428,169.1918,181.0167,190.1494,177.3478,199.1236,209.4018
INTL.4701-34-ECU-BDOLPPP.A,        Ecuador,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,76.17893,76.40747,78.69969,82.78595,84.03973,84.28952,88.25434,89.79739,91.95434,95.67936,97.70355,91.54875,96.39834,100.2693,104.3771,107.2192,116.023,122.1621,127.5416,130.3348,138.6204,139.4056,144.3201,155.6754,164.4586,172.5935,179.1329,179.31,177.111,181.3056,183.6432,183.6654,169.3623,176.5352,181.674
INTL.4701-34-EGY-BDOLPPP.A,        Egypt,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,340.2736,357.018,377.2503,381.4959,398.5597,410.1211,426.4159,446.2121,468.4724,494.2025,521.7568,553.3409,588.5889,609.3969,623.9628,643.8888,670.2372,700.2084,747.2418,797.1552,844.8059,883.645,931.8892,934.0765,961.8232,996.4753,1047.969,1091.839,1133.772,1170.83,1234.197,1303.533,1322.28,1416.644,1469.462
INTL.4701-34-SLV-BDOLPPP.A,        El Salvador,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,21.24585,21.42889,25.99736,26.38689,28.2395,29.88208,31.28414,32.7648,33.03231,34.06829,34.97173,35.72848,36.1309,36.44767,37.02262,37.6022,37.93657,38.96434,40.65623,41.41296,42.2941,41.41179,42.28354,43.89681,45.13223,46.14127,46.93085,48.05601,49.2774,50.38616,51.60283,52.85938,48.53825,53.52231,54.45834
INTL.4701-34-GNQ-BDOLPPP.A,        Equatorial Guinea,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.3814982,0.3768089,0.3701824,0.3663983,0.4937046,0.5481759,0.6395507,0.751384,1.251655,3.1288,3.872657,4.866537,5.752914,9.399105,11.22844,12.7954,17.65749,20.61488,22.20324,25.59637,30.15229,30.55734,27.83035,29.64598,32.11042,30.78323,30.911,28.095,25.61803,24.16612,22.65899,21.41687,20.50847,20.31459,21.25114
INTL.4701-34-ERI-BDOLPPP.A,        Eritrea,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3.617207,3.701373,4.03945,4.358646,4.444224,4.452517,3.902525,4.244131,4.371704,4.2556,4.317357,4.42852,4.385643,4.448282,3.583682,4.020217,4.456399,5.602083,5.707776,5.111025,6.692009,5.312001,5.7046,5.133434,5.802353,6.024855,5.987095,6.167043,6.333119
INTL.4701-34-EST-BDOLPPP.A,        Estonia,--,--,--,--,--,--,--,--,--,--,--,--,17.38024,16.38253,16.11356,17.16575,18.01458,20.36531,21.24925,21.15879,23.29332,24.69176,26.36361,28.36738,30.29759,33.1838,36.42442,39.18507,37.17407,31.73578,32.5118,34.87311,35.9987,36.52361,37.62374,38.38899,39.57197,41.73065,43.33971,44.90254,44.70101,48.31775,48.15998
INTL.4701-34-SWZ-BDOLPPP.A,        Eswatini,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,3.254895,3.67514,4.447581,4.525875,4.67189,4.817003,4.932644,5.170677,5.369335,5.535937,5.680095,5.847708,5.950638,6.013401,6.276796,6.520348,6.756641,7.161957,7.591111,7.927807,7.992947,8.11804,8.426018,8.615369,9.080311,9.43092,9.517989,9.730001,9.833394,10.03267,10.27175,10.53898,10.34396,11.11211,11.25325
INTL.4701-34-ETH-BDOLPPP.A,        Ethiopia,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,33.42976,33.30906,34.21723,31.77497,29.0193,32.83326,33.88062,35.95666,40.42471,41.69158,40.24982,42.32758,44.89822,48.62537,49.36191,48.29502,54.8499,61.33248,67.9777,75.76533,83.9393,91.32809,102.7903,114.2805,124.1632,137.3025,151.3863,167.1191,182.8842,200.3756,214.0335,231.9355,245.9897,259.8569,269.8295
INTL.4701-34-FLK-BDOLPPP.A,        Falkland Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INTL.4701-34-FRO-BDOLPPP.A,        Faroe Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INTL.4701-34-FJI-BDOLPPP.A,        Fiji,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,5.073761,5.745571,6.225436,6.059082,6.295814,6.404584,6.731218,6.8995,7.230675,7.071601,7.163531,7.793921,7.661425,7.814654,8.064722,8.145368,8.577073,8.637113,8.797114,8.71794,8.805121,8.681849,8.942303,9.184305,9.313924,9.754865,10.30148,10.782,11.0526,11.65224,12.06185,12.00813,10.1199,8.738862,9.409344
INTL.4701-34-FIN-BDOLPPP.A,        Finland,116.3519,117.8351,121.4836,125.2114,128.9524,133.1143,136.7782,141.7303,149.036,157.1087,154.9963,145.8735,141.068,140.1325,145.6829,151.8338,157.4062,167.3004,176.4254,184.1543,194.7558,199.8379,203.2472,207.32,215.5965,221.5865,230.5143,242.7291,244.6365,224.8835,232.046,237.9589,234.6322,232.5176,231.6669,232.9297,239.4785,247.1269,249.9412,253.0001,247.0718,254.4238,259.0958
INTL.4701-34-CSK-BDOLPPP.A,        Former Czechoslovakia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
INTL.4701-34-SCG-BDOLPPP.A,        Former Serbia and Montenegro,--,--,--,--,--,--,--,--,--,--,--,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
INTL.4701-34-SUN-BDOLPPP.A,        Former U.S.S.R.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
INTL.4701-34-YUG-BDOLPPP.A,        Former Yugoslavia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
INTL.4701-34-FRA-BDOLPPP.A,        France,1448.367,1463.832,1499.727,1518.527,1542.513,1569.049,1604.769,1646.116,1721.688,1799.571,1851.776,1871.904,1899.807,1886.95,1931.557,1975.198,2002.033,2048.797,2122.511,2192.374,2282.624,2326.808,2354.134,2374.021,2434.568,2476.798,2542.158,2602.721,2606.792,2534.134,2580.293,2637.358,2646.955,2665.028,2690.756,2719.15,2745.848,2813.076,2864.398,2918.354,2687.674,2869.579,2943.559
INTL.4701-34-GUF-BDOLPPP.A,        French Guiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,NA
INTL.4701-34-PYF-BDOLPPP.A,        French Polynesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INTL.4701-34-GAB-BDOLPPP.A,        Gabon,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,14.32715,15.55145,16.35892,17.35885,16.82244,17.48635,18.13557,19.03761,19.72773,20.85978,21.58525,19.65712,19.28698,19.6988,19.64975,20.09134,20.22988,20.77128,20.18831,21.40125,20.69321,20.72017,22.18921,23.76281,25.01062,26.42089,27.56094,28.63,29.22879,29.36693,29.613,30.77407,30.20851,30.66327,31.54323
INTL.4701-34-GMB-BDOLPPP.A,"        Gambia, The",0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,1.981663,2.098496,2.173179,2.2407,2.316407,2.386179,2.389863,2.410938,2.464546,2.585309,2.675794,2.847045,3.003632,3.177844,3.074564,3.285786,3.517434,3.434713,3.41563,3.519576,3.739759,3.98904,4.224726,3.881237,4.084675,4.202019,4.142879,4.311,4.394779,4.606723,4.940013,5.246477,5.277152,5.502736,5.667195
INTL.4701-34-GEO-BDOLPPP.A,        Georgia,--,--,--,--,--,--,--,--,--,--,--,--,20.68924,14.73931,13.1066,13.44759,14.95255,16.52496,17.03849,17.52729,17.84964,18.70707,19.73169,22.19028,23.52301,25.78172,28.17729,31.69559,32.60978,31.34688,35.12394,37.7568,40.27427,41.75141,43.67875,45.036,46.34408,48.57059,50.93291,53.42547,50.02111,54.94633,60.25315
INTL.4701-34-DEU-BDOLPPP.A,        Germany,--,--,--,--,--,--,--,--,--,--,--,2863.719,2906.744,2877.82,2948.699,2996.192,3021.69,3078.042,3133.236,3188.03,3287.909,3347.687,3342.124,3318.468,3341.725,3371.807,3506.533,3614.962,3639.778,3434.495,3573.291,3715.872,3738.768,3759.308,3842.434,3890.03,3973.245,4091.809,4132.979,4177.845,4008.092,4111.756,4190.22
INTL.4701-34-DDR-BDOLPPP.A,"        Germany, East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
INTL.4701-34-DEUW-BDOLPPP.A,"        Germany, West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
INTL.4701-34-GHA-BDOLPPP.A,        Ghana,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,35.54989,37.35779,38.60184,40.64127,42.21764,44.26483,45.72599,47.6059,49.7971,51.88638,54.32571,56.71632,58.81446,61.16738,63.92023,67.24359,71.00894,75.19859,76.46955,79.99355,87.28549,91.41004,98.63214,112.5344,123.5749,137.9053,141.7475,144.9116,149.7961,162.1336,172.1282,183.3895,183.9866,193.7896,199.9817
INTL.4701-34-GIB-BDOLPPP.A,        Gibraltar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INTL.4701-34-GRC-BDOLPPP.A,        Greece,219.5219,216.1058,213.6634,211.3596,215.6008,221.0194,222.157,217.1433,226.4542,235.0574,235.0577,242.3489,244.0385,240.1359,244.9381,249.3118,256.5217,268.2962,278.7177,286.9833,298.5903,311.1053,323.4578,342.2254,358.6647,361.4642,381.6422,393.7484,392.7944,375.8691,355.1952,319.3036,296.198,288.8995,290.5841,289.6581,288.2722,291.3279,295.8072,301.293,275.0561,297.4656,311.7375
INTL.4701-34-GRL-BDOLPPP.A,        Greenland,2.50986,2.526557,2.414892,2.498381,2.368971,2.455593,2.629872,2.774935,2.930429,3.125583,2.759278,2.756149,2.615264,2.483769,2.630917,2.729014,2.770758,2.811458,3.029573,3.071314,3.289427,3.331171,3.298821,3.44496,3.682891,3.866573,4.081388,4.177402,4.434985,4.473389,4.551041,4.528444,4.591578,4.531967,4.746877,4.626815,4.84344,4.845993,4.876188,4.98694,5.004721,4.980614,5.069132
INTL.4701-34-GRD-BDOLPPP.A,        Grenada,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.698436,0.7408453,0.779364,0.797265,0.7949019,0.7739188,0.7952277,0.8121623,0.8482076,0.8907497,0.995444,1.064113,1.116129,1.093543,1.131092,1.238173,1.23016,1.393406,1.337802,1.419715,1.433189,1.337808,1.331568,1.34178,1.326243,1.357424,1.457088,1.551,1.609001,1.680419,1.753713,1.765576,1.522709,1.603289,1.663995
INTL.4701-34-GLP-BDOLPPP.A,        Guadeloupe,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,3.278722,3.66889,3.306037,3.501424,3.571102,6.031591,6.17798,6.263255,6.58228,6.831152,7.060487,7.438422,7.804006,8.116166,8.205444,8.615716,8.693257,9.07576,9.266352,9.507276,9.611856,9.150486,9.617162,9.905677,9.965112,10.03487,10.12518,10.31756,10.28661,10.63635,10.7959,10.87423,10.05951,10.1834,10.49043
INTL.4701-34-GUM-BDOLPPP.A,        Guam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.385,3.56,3.857,4.197,4.213,4.375,4.621,4.781,4.895,4.928,5.199,5.336,5.538,5.71,5.795,5.851,5.92,NA,NA,NA,NA
INTL.4701-34-GTM-BDOLPPP.A,        Guatemala,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,49.55816,51.25214,53.15266,54.70914,57.12952,59.11012,61.19516,63.82998,65.64249,68.29222,71.42952,74.0668,75.89565,77.74166,80.7264,82.79328,85.39128,88.1887,92.90805,98.79631,102.0502,102.5369,105.4942,109.8869,113.1557,117.3366,122.551,127.566,130.982,135.016,139.6158,145.2037,142.6422,154.0261,160.1868
INTL.4701-34-GIN-BDOLPPP.A,        Guinea,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,7.69126,7.999108,8.345039,8.563104,8.843225,9.28929,9.658075,10.10309,10.5538,11.1007,11.50525,11.9438,12.24279,12.69067,13.34607,13.51269,13.82891,14.2434,14.41283,15.39542,16.03173,15.85174,16.61474,17.54718,18.58515,19.31846,20.03258,20.799,23.04958,25.42369,27.04026,28.55908,29.88345,30.81678,32.54316
INTL.4701-34-GNB-BDOLPPP.A,        Guinea-Bissau,1.167604,1.379728,1.437678,1.388822,1.515333,1.578469,1.565938,1.61135,1.685473,1.788286,1.897372,1.994138,2.016073,2.05841,2.12428,2.217748,2.475007,2.635882,1.8952,1.914636,2.018543,2.062727,2.042405,2.054017,2.110736,2.200782,2.251606,2.325075,2.399561,2.480401,2.594772,2.804554,2.756521,2.84627,2.873724,3.05,3.241016,3.432858,3.476926,3.633388,3.546187,3.680941,3.77428
INTL.4701-34-GUY-BDOLPPP.A,        Guyana,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,2.353536,2.237166,2.169199,2.299017,2.479064,2.68269,2.911344,3.056514,3.297472,3.502805,3.442957,3.545208,3.4964,3.879062,4.253138,4.568397,5.120128,5.446782,6.213084,6.659885,6.776776,7.021521,7.312102,7.692062,8.097917,8.393765,8.535324,8.593998,8.92121,9.254372,9.665351,10.18269,14.61017,17.52159,26.37309
INTL.4701-34-HTI-BDOLPPP.A,        Haiti,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,22.72228,22.23986,22.91575,22.55462,22.02223,21.27706,18.70804,20.52134,21.39689,21.97374,22.43972,23.06343,23.28448,23.1999,23.43696,24.27053,23.9265,24.69355,25.1204,26.30537,26.98622,28.59636,26.97579,28.35671,28.48925,29.72604,30.23171,31.002,31.57954,32.35988,32.90436,32.3498,31.2754,30.71283,30.60101
INTL.4701-34-HITZ-BDOLPPP.A,        Hawaiian Trade Zone,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
INTL.4701-34-HND-BDOLPPP.A,        Honduras,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,17.12671,17.8164,17.82639,18.44345,19.4961,20.65591,20.41425,21.24491,21.99562,23.10865,23.78244,23.31892,24.66112,25.33278,26.28374,27.47889,29.19148,30.95779,32.99079,35.03237,36.51484,35.62698,36.95616,38.3737,39.95804,41.07351,42.32957,43.95501,45.6662,47.87777,49.71867,51.03773,46.46235,52.28596,54.2186
INTL.4701-34-HKG-BDOLPPP.A,        Hong Kong,84.57354,92.3482,95.01378,100.7285,110.8037,111.5958,123.987,140.5955,152.5625,156.0363,162.0133,171.2514,181.9288,193.2105,204.8728,209.7361,218.6677,229.8192,216.2996,221.7217,238.7133,240.052,244.0289,251.4872,273.3667,293.5636,314.2088,334.5218,341.6402,333.2392,355.7917,372.922,379.2629,391.0258,401.8276,411.4225,420.3727,436.3306,448.7526,441.2215,412.3435,438.4989,423.0687
INTL.4701-34-HUN-BDOLPPP.A,        Hungary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165.8061,160.7255,159.7996,164.5091,167.1569,167.221,172.5377,179.1818,184.4841,193.0936,201.0498,210.5705,218.9412,229.5434,239.525,249.3827,250.1754,252.3018,235.6577,238.06,242.5288,239.8542,244.2817,254.3789,263.6729,269.3307,281.3078,296.5004,310.8975,296.1599,317.2299,332.5267
INTL.4701-34-ISL-BDOLPPP.A,        Iceland,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,8.237972,8.259263,8.355843,8.337165,8.055875,8.16169,8.456233,8.498964,8.88712,9.400051,10.09216,10.49937,11.02277,11.46517,11.52932,11.77635,12.69519,13.4727,14.32377,15.53482,15.87807,14.6612,14.24588,14.50883,14.66315,15.33068,15.58935,16.281,17.30729,18.03333,18.91494,19.37183,18.04635,18.84094,19.99585
INTL.4701-34-IND-BDOLPPP.A,        India,927.043,984.4822,1025.8,1089.971,1139.54,1196.734,1255.148,1308.184,1414.718,1510.762,1597.189,1630.672,1703.284,1784.539,1895.428,2036.365,2188.784,2292.614,2427.43,2627.077,2779.897,2876.447,3008.865,3202.748,3452.769,3726.928,4031.058,4352.613,4575.838,4786.603,5222.764,5583.073,5866.951,6227.634,6663.926,7163.966,7807.886,8282.129,8883.02,9284.868,8641.058,9379.105,10048.79
INTL.4701-34-IDN-BDOLPPP.A,        Indonesia,417.9599,449.0488,447.236,486.9222,523.8027,544.2604,583.3849,621.7255,665.116,725.5392,790.853,861.4631,917.6538,990.6606,1065.356,1152.93,1243.066,1301.489,1130.646,1139.591,1196.327,1239.915,1295.704,1357.644,1425.945,1507.118,1590.024,1690.912,1816.745,1902.164,2023.477,2148.322,2277.866,2404.454,2524.836,2647.956,2781.229,2922.232,3073.436,3227.7,3161.049,3277.731,3449.108
INTL.4701-34-IRN-BDOLPPP.A,        Iran,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,388.8694,412.8933,469.4101,528.5289,550.998,542.3152,540.414,554.7485,594.1416,614.2515,631.0852,643.2892,676.3741,701.1936,758.409,819.5281,869.2491,896.9764,941.8237,1018.637,1021.192,1031.479,1091.284,1153.006,1109.801,1092.91,1147.389,1131.04,1230.742,1264.692,1236.188,1219.62,1243.402,1302.087,1334.027
INTL.4701-34-IRQ-BDOLPPP.A,        Iraq,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,158.4201,144.3676,144.3921,48.92016,61.46046,91.31305,87.0964,71.1485,106.4656,129.7635,174.9953,205.7635,208.6575,213.4677,198.738,132.9531,204.9591,208.3926,220.1424,224.2999,242.7555,250.959,267.0267,287.1775,327.2012,352.1598,352.8538,369.519,420.4662,412.8151,423.6882,448.9285,378.5677,386.0325,415.7502
INTL.4701-34-IRL-BDOLPPP.A,        Ireland,63.18946,64.94055,65.79885,65.88419,68.31659,72.35031,72.59893,75.81405,79.20759,84.1373,95.41098,97.29003,100.6075,103.2043,108.9381,116.651,124.7979,137.8844,150.1887,165.2516,179.3642,188.8128,198.6898,206.7361,219.612,232.8358,245.0454,257.9852,246.8312,232.6938,235.2926,240.7732,240.5578,244.3081,264.4196,324.812,332.1482,363.6752,395.7714,418.0427,441.6536,500.8389,563.9958
INTL.4701-34-ISR-BDOLPPP.A,        Israel,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,97.72251,99.10914,105.6833,112.124,120.1466,124.6775,133.4184,142.1604,150.217,156.2518,161.8812,168.1533,182.8837,183.1521,182.6721,185.4971,193.9871,202.839,213.5574,226.4078,233.6311,235.7281,248.8326,262.8207,270.0898,282.0398,293.5952,300.531,313.7013,327.4935,341.6748,355.24,348.6348,379.0082,401.6103
INTL.4701-34-ITA-BDOLPPP.A,        Italy,1511.896,1525.822,1530.785,1551.698,1601.51,1646.983,1695.909,1746.067,1821.147,1884.433,1921.216,1932.032,1945.546,1928.85,1972.858,2031.277,2056.684,2096.907,2131.076,2164.488,2253.063,2292.71,2298.422,2303.771,2331.474,2355.272,2399.843,2431.749,2408.318,2279.963,2318.042,2338.054,2267.516,2225.279,2227.024,2241.423,2273.198,2312.778,2331.09,2342.298,2129.114,2272.136,2361.17
INTL.4701-34-JAM-BDOLPPP.A,        Jamaica,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,17.94894,19.17641,20.22308,20.39985,22.50735,22.95015,23.15486,23.39319,23.46658,23.2356,22.95063,23.17756,23.3378,23.63672,23.79624,24.66869,24.99526,25.21867,25.94976,26.32453,26.11086,24.97623,24.61231,25.03818,24.88455,25.01338,25.18593,25.418,25.76757,26.02448,26.51633,26.75295,24.02414,25.11726,25.85515
INTL.4701-34-JPN-BDOLPPP.A,        Japan,2642.704,2755.004,2846.816,2946.765,3081.825,3240.397,3349.089,3505.544,3747.024,3926.362,4119.498,4260.106,4298.843,4274.264,4315.894,4428.965,4568.557,4614.915,4554.092,4542.888,4666.315,4685.006,4685.254,4759.035,4861.419,4950.229,5016.822,5090.921,5027.365,4742.093,4936.587,4938.347,5005.882,5108.252,5119.228,5200.86,5238.336,5327.835,5361.58,5340.402,5108.998,5222.489,5291.592
INTL.4701-34-JOR-BDOLPPP.A,        Jordan,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,29.9547,31.25938,32.82273,34.77697,35.44046,36.76775,37.94715,39.1748,40.82061,42.85602,45.68116,47.49979,51.44719,55.16179,60.7288,65.81363,71.33359,74.91715,76.65139,78.7495,80.66259,82.76782,85.56875,87.705,89.45401,91.66677,93.42588,95.22653,93.73201,95.82049,97.85406
INTL.4701-34-KAZ-BDOLPPP.A,        Kazakhstan,--,--,--,--,--,--,--,--,--,--,--,--,176.728,160.469,141.269,129.7649,130.6677,132.5368,130.6995,133.2853,146.3035,165.9919,182.2236,199.052,218.109,239.1831,264.7492,288.3834,298.1028,301.3258,323.4448,347.6757,365.129,386.563,403.082,407.4162,411.0464,427.3318,444.8736,464.7923,453.0368,471.131,481.3874
INTL.4701-34-KEN-BDOLPPP.A,        Kenya,51.72803,53.68001,54.48869,55.20198,56.17089,58.58655,62.79163,66.51964,70.64597,73.95952,77.05994,78.16833,77.54338,77.81726,79.86602,83.38508,85.88888,86.12087,89.01066,90.88464,91.35033,95.42156,95.95291,98.77881,103.8192,109.9446,116.8881,124.8959,125.1859,129.705,140.1487,147.331,154.0848,159.9693,167.9999,176.3538,183.7955,190.8498,201.6025,211.8947,211.3366,227.2536,238.8931
INTL.4701-34-KIR-BDOLPPP.A,        Kiribati,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.1287546,0.1239639,0.12172,0.12086,0.1532586,0.1531997,0.1551133,0.1543355,0.156588,0.1578192,0.1652066,0.1601022,0.1690247,0.159939,0.1613195,0.168066,0.1652347,0.1734167,0.173331,0.1768584,0.1731592,0.1745496,0.1725942,0.1756362,0.1846571,0.1923418,0.1902333,0.209,0.2080007,0.2074918,0.2184352,0.2172565,0.2160681,0.2180589,0.2214399
INTL.4701-34-XKS-BDOLPPP.A,        Kosovo,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12.19844,12.80836,13.43597,14.28244,14.52524,15.29507,15.79981,16.732,17.66899,18.5171,19.14669,20.06573,19.00224,21.03548,21.68809
INTL.4701-34-KWT-BDOLPPP.A,        Kuwait,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,59.67243,75.19129,55.55172,32.38934,59.81523,79.97866,86.87259,88.04268,88.65789,90.85777,94.0372,92.48588,96.85752,97.06415,99.98994,117.3142,129.3275,143.048,153.7977,163.0126,167.0549,155.234,151.5541,166.1464,177.1559,179.1915,180.0895,181.157,186.4574,177.6713,181.9958,180.9911,164.9643,169.0873,180.9169
